"","year","nstat","exposurexpersons"
"1",2000,NA,526028099.280249
"2",2001,NA,515178180.940091
"3",2002,NA,538974696.494298
"4",2003,NA,575038015.899879
"5",2004,NA,430265208.091957
"6",2005,NA,438090908.445652
"7",2006,NA,459317063.809055
"8",2007,NA,429563229.274392
"9",2008,NA,399660551.244923
"10",2009,NA,396218714.407476
"11",2010,NA,408956696.099037
"12",2011,NA,421903570.114081
"13",2012,NA,358105179.163014
"14",2013,NA,346008786.020461
"15",2014,NA,342901760.23835
"16",2015,NA,304556779.680517
